Artist,song_album,Title,song_release_date
Ed Sheeran,Perfect Duet (Ed Sheeran & Beyoncé),Perfect Duet (Ed Sheeran & Beyoncé),2017-11-30
Emeli Sandé,Our Version Of Events (Deluxe Edition),"""Read All About It, Pt. III""",2012
Jessie J,"Flashlight (From ""Pitch Perfect 2"" Soundtrack)","Flashlight - From ""Pitch Perfect 2"" Soundtrack",2015-04-14
Ellie Goulding,"Love Me Like You Do (From ""Fifty Shades Of Grey"")","Love Me Like You Do - From ""Fifty Shades Of Grey""",2015-01-07
Bruno Mars,Doo-Wops & Hooligans,Grenade,2010-10-05
Rihanna,Rated R,Stupid In Love,2009-11-20
Demi Lovato,Demi,Made In The USA,2013-01-01
Demi Lovato,Unbroken,Lightweight,2011-01-01
Sam Smith,The Thrill Of It All (Special Edition),No Peace,2017-11-03
Jessie Ware,Glasshouse,Hearts,2017-10-20
Calum Scott,Only Human (Deluxe),Dancing On My Own,2018-03-09
Demi Lovato,Unbroken,Together,2011-01-01
Demi Lovato,Sober,Sober,2018-06-21
Javi Reina,D.Franklin Desires,D.Franklin Desires,2017-10-27
Sam Smith,In The Lonely Hour (Drowning Shadows Edition),Stay With Me,2015-11-06
Sam Smith,In The Lonely Hour (Deluxe Edition),Lay Me Down,2014-01-01
John Legend,Love In The Future (Expanded Edition),All of Me,2013-08-30
Miley Cyrus,The Time Of Our Lives (International Version),When I Look At You,2009-01-01
Demi Lovato,Demi,Warrior,2013-01-01
Jessie J,"Flashlight (From ""Pitch Perfect 2"" Soundtrack)","Flashlight - From ""Pitch Perfect 2"" Soundtrack",2015-04-14
James Arthur,Naked (CADE Remix),Naked - CADE Remix,2017-12-01
Mariah Carey,Memoirs of an imperfect Angel (International Version),I Want To Know What Love Is,2009-01-01
Mariah Carey,Butterfly,My All,1997-09-03
Toni Braxton,The Heat,Spanish Guitar,2000
Various Artists,Luke Cage: Season 2,Family First,2018-06-22
Jazmine Sullivan,Fearless,Bust Your Windows,2008-09-23
Koryn Hawthorne,Koryn Hawthorne - EP,Speak The Name,2017-08-11
Rihanna,Rated R,Stupid In Love,2009-11-20
Sam Smith,"Fire On Fire (From ""Watership Down"")","Fire On Fire - From ""Watership Down""",2018-12-21
Nick Jonas,Last Year Was Complicated,Chainsaw,2016-06-10
Cold War Kids,LA DIVINE,Restless,2017-04-07
Skye Townsend,Noreg,Noreg,2018-03-13
Freya Ridings,Lost Without You,Lost Without You,2017-11-03
Rihanna,"Sledgehammer (From The Motion Picture ""Star Trek Beyond"")","Sledgehammer - From The Motion Picture ""Star Trek Beyond""",2016-06-27
Hamster,City Limits,City Limits,2016-10-14
Lady Gaga,A Star Is Born Soundtrack (Without Dialogue),Always Remember Us This Way,2018-10-05
Sam Smith,Dancing With A Stranger (with Normani),Dancing With A Stranger (with Normani),2019-01-11
Jorja Smith,Let Me Down,Let Me Down,2018-01-12
James Arthur,Back from the Edge,Say You Won't Let Go,2016-10-28
Usher,8701,U Got It Bad,2001-08-07
Usher,Here I Stand,Moving Mountains,2008-05-27
Lewis Capaldi,Breach,Someone You Loved,2018-11-08
Aron Wright,I Don't Believe in Satan,I Don't Believe in Satan,2018-03-06
Wafia,VIII,The Ending,2018-01-19
Blakey,Prism of Love,Prism of Love,2018-03-01
Mickey Guyton,"Hold On (From ""Breakthrough"" Soundtrack)","Hold On - From ""Breakthrough"" Soundtrack",2019-03-22
Shontelle,No Gravity,Impossible - Main,2010-01-01
Adele,21,Set Fire to the Rain,2011-01-19
Adele,25,Hello,2016-06-24
Various Artists,The Greatest Showman: Reimagined,Rewrite The Stars (with James Arthur & Anne-Marie),2018-11-16
Joel Adams,Please Don't Go,Please Don't Go,2015-11-06
Ne-Yo,In My Own Words,So Sick,2006-01-01
CLOVES,XIII,Don't Forget About Me,2015-11-20
P!nk,The Truth About Love,Try,2012-09-18
P!nk,F**kin' Perfect,F**kin' Perfect,2010-12-24
P!nk,Beautiful Trauma,Beautiful Trauma,2017-10-13
P!nk,I'm Not Dead,Who Knew,2006-03-31
Various Artists,The Greatest Showman (Original Motion Picture Soundtrack),Never Enough,2017-12-08
Demi Lovato,Unbroken,Fix a Heart,2011-01-01
Rihanna,A Girl Like Me,Unfaithful,2006-04-10
A Great Big World,Is There Anybody Out There? - Track by Track Commentary,Say Something,2014-01-13
Christina Perri,A Thousand Years,A Thousand Years,2011-10-18
Rihanna,Loud,Love The Way You Lie (Part II) - Pt. 2,2010-11-16
Miley Cyrus,Can't Be Tamed,Stay,2010-01-01
Whitney Houston,The Bodyguard - Original Soundtrack Album,I Will Always Love You,1992-11-17
Rihanna,Unapologetic (Deluxe),What Now,2012-12-11
Bebe Rexha,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")","You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",2019-09-20
Eamon,F**k It,Fuck It (I Don't Want You Back),2004-01-28
Various Artists,Burlesque Original Motion Picture Soundtrack,Bound To You - Burlesque Original Motion Picture Soundtrack,2010-11-19
Marieme,Marieme,Leave,2018-02-16
Birdy,Not About Angels,Not About Angels,2014-04-13
pxzvc,Bad Idea,Bad Idea,2018-05-11
The Deli,Vibes 2,5:32pm,2016-10-17
Jinsang,Life,Affection,2016-12-23
potsu,i'm closing my eyes,i'm closing my eyes,2017-05-17
Nohidea,osho,"sincerely, yours",2017-02-04
"quickly, quickly","Quickly Quickly, Vol. 1",Getsomerest/sleepwell,2017-04-16
eery,Her,Her,2016-01-01
potsu,[oops],[oops],2017-05-17
prxz,Love Wounds,Love Is More Depressing Than Depression,2017-10-21
itssvd,Missing,Losing Interest,2017-02-12
Shiloh Dynasty,Imagination,Imagination,2018-06-02
Shiloh Dynasty,Love Is the Same as Sadness,Dance with Me,2018-05-14
Burgettii,Darkness Meets World,Intro,2020-07-03
Burgettii,Darkness Meets World,Rae of Sunshine X 906 in Lex,2020-07-03
Burgettii,Darkness Meets World,Darkness Meets World 2,2020-07-03
